Company Name,Job Title,Rating,Salary Estimate,Location,Job Type,Size,Founded,Type of ownership,Industry,Revenue
GovStriveLLC,Data Scientist I,3.6,not found-------------------,"Dublin, GA", Full-time,51 to 200 Employees,2014,Company - Private,Consulting,Unknown / Non-Applicable
,Data Scientist,Vectorsoft,Employer Provided Salary:$78K - $184K,"Dallas, TX", Full-time,--,--,--,--,--
Discord,"Data Scientist, Analytics",4.7,not found-------------------,"San Francisco, CA", N/A,51 to 200 Employees,2015,Company - Private,Internet,$1 to $5 million (USD)
Zscaler,Staff Data Scientist,4.6,not found-------------------,"San Jose, CA", Full-time,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
RMDS,Data Scientist for GRMDS.org,Lab,Employer Provided Salary:$56K - $118K,"Pasadena, CA", Full-time,--,--,--,--,--
SuncoastCreditUnion,Data Scientist,3.8,not found-------------------,"Tampa, FL", Full-time,1001 to 5000 Employees,1934,Nonprofit Organization,Banks & Credit Unions,$100 to $500 million (USD)
LeviStrauss&Co.,Data Scientist,4.0,not found-------------------,Remote, Full-time,10000+ Employees,1853,Company - Public,"Department, Clothing, & Shoe Stores",$2 to $5 billion (USD)
CiscoSystems,Data Scientist (Full Time) United States,4.3,not found-------------------,"San Jose, CA", Full-time,10000+ Employees,1984,Company - Private,Computer Hardware & Software,$10+ billion (USD)
Craftner,Data Scientist,INC,Employer Provided Salary:$48 Per Hour,"San Francisco, CA", Full-time,--,--,--,--,--
Doorstead,Data Scientist,4.5,not found-------------------,"San Francisco, CA", Full-time,--,--,--,--,--
EnvironmentalRiskManagement,Data Scientist,Inc,Employer Provided Salary:$125K - $180K,"Sunnyvale, CA", Full-time,--,--,--,--,--
WarnerMedia,Data Scientist I,3.9,not found-------------------,"New York, NY", Full-time,10000+ Employees,2003,Company - Public,Motion Picture Production & Distribution,$10+ billion (USD)
Facebook,"Data Scientist, Analytics (University Grad)",4.4,not found-------------------,"Menlo Park, CA", Internship,10000+ Employees,2004,Company - Public,Internet,$10+ billion (USD)
CaliforniaStateUniversity,Data Scientist,4.1,Employer Provided Salary:$64K - $116K,"San Diego, CA", Full-time,--,--,--,--,--
,Data Scientist,TurnPoint,Employer Provided Salary:$100K - $120K,"Dallas, TX", N/A,--,--,--,--,--
"DisneyParks,ExperiencesandProducts",Data Scientist,3.9,not found-------------------,"Celebration, FL", Full-time,10000+ Employees,1901,Subsidiary or Business Segment,"Museums, Zoos & Amusement Parks",$2 to $5 billion (USD)
EOS,Data Scientist,3.4,not found-------------------,"Fremont, CA", N/A,501 to 1000 Employees,2008,Company - Private,IT Services,Unknown / Non-Applicable
NextInsurance,"Data Scientist, Analytics",4.6,not found-------------------,"Palo Alto, CA", N/A,501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Unknown / Non-Applicable
NextInsurance,"Data Scientist, Analytics",4.6,not found-------------------,"Palo Alto, CA",,--,--,--,--,--
NextInsurance,"Data Scientist, Analytics",4.6,not found-------------------,"Palo Alto, CA", Full-time,--,--,--,--,--
LendingHome,Data Scientist,4.2,not found-------------------,"San Francisco, CA", N/A,201 to 500 Employees,2013,Company - Private,Lending,Unknown / Non-Applicable
TwoBarrels,Data Scientist,4.7,Employer Provided Salary:$100K,"Spokane, WA", Full-time,--,--,--,--,--
VastekInc.,Data Scientist,4.8,Employer Provided Salary:$26 Per Hour,"Dallas, TX", Full-time,--,--,--,--,--
Microsoft,Data & Applied Scientist,4.4,not found-------------------,"Bellevue, WA", Full-time,10000+ Employees,1975,Company - Public,Computer Hardware & Software,$10+ billion (USD)
,Data Scientist,vectorsoft,Employer Provided Salary:$78K - $183K,"Dallas, TX", Full-time,--,--,--,--,--
HewlettPackardEnterprise,Data Scientist,4.0,not found-------------------,"San Jose, CA", N/A,10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
Walmart,Data Scientist,3.3,Employer Provided Salary:$90K,"Dallas, TX", Full-time,--,--,--,--,--
Walmart,Data Scientist,3.3,not found-------------------,"Dallas, TX", N/A,1001 to 5000 Employees,2015,Company - Public,Internet,$2 to $5 billion (USD)
LOCKHEEDMARTINCORPORATION,Data Scientist Associate - Level 1,4.1,not found-------------------,"Fort Worth, TX", N/A,10000+ Employees,1995,Company - Public,Aerospace & Defense,$10+ billion (USD)
TikTok,Data Scientist,3.7,not found-------------------,"New York, NY", N/A,501 to 1000 Employees,2016,Company - Private,Internet,Unknown / Non-Applicable
TikTok,Data Scientist,3.7,not found-------------------,"New York, NY",,--,--,--,--,--
Discovery,Data Scientist,3.9,not found-------------------,"New York, NY", N/A,10000+ Employees,1985,Company - Public,TV Broadcast & Cable Networks,$5 to $10 billion (USD)
Zscaler,Data Scientist,4.6,not found-------------------,"San Jose, CA", Full-time,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
Deloitte,Junior Data Scientist,3.9,not found-------------------,"Arlington, TX", Full-time,10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD)
CharlesSchwab,Data Scientist,3.9,not found-------------------,"Westlake, TX", N/A,10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,$10+ billion (USD)
