Company Name,Job Title,Rating,Salary Estimate,Location,Size,Founded,Type of ownership,Industry,Revenue
ManTechInternationalCorporation,Data Scientist,4.2,$85K - $161K (Glassdoor est.),"McLean, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,$1 to $2 billion (USD)
BlueYonder,Staff Data Scientist,4.2,$71K - $143K (Glassdoor est.),"Dallas, TX",1001 to 5000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,$1 to $2 billion (USD)
"InnovaCarePartners,",Data Analyst,LLC,$41K - $84K (Glassdoor est.),"Orlando, FL",--,--,--,--,--
QinetiQInc.,Data Scientist,3.8,$73K - $144K (Glassdoor est.),"Lorton, VA",1001 to 5000 Employees,2001,Company - Private,Aerospace & Defense,$1 to $2 billion (USD)
GEICO,"Data Scientist, Lead",3.4,$85K - $153K (Glassdoor est.),"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,$10+ billion (USD)
BocaRatonRegionalHospital,Data Analyst,4.0,$43K - $85K (Glassdoor est.),"Boca Raton, FL",5001 to 10000 Employees,1960,Nonprofit Organization,Health Care Services & Hospitals,$500 million to $1 billion (USD)
AppliedInformationSciences,Data Scientist,4.4,$77K - $140K (Glassdoor est.),"Chevy Chase, MD",201 to 500 Employees,1982,Company - Private,IT Services,$50 to $100 million (USD)
Perspecta,Data Scientist,3.5,$78K - $136K (Glassdoor est.),"Springfield, VA",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
ReyesHoldings,Data Scientist - RH,3.9,$71K - $130K (Glassdoor est.),"Rosemont, IL",10000+ Employees,1976,Company - Private,Wholesale,$10+ billion (USD)
"Metron,Inc.",Research Scientist,3.5,$78K - $156K (Glassdoor est.),"Reston, VA",201 to 500 Employees,1982,Company - Private,Research & Development,$25 to $50 million (USD)
TheLauridsenGroup,Research Scientist I - Essentia,3.1,$67K - $147K (Glassdoor est.),"Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Unknown / Non-Applicable
LGCLimited,Senior Scientist,3.6,$73K - $176K (Glassdoor est.),"Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable
IntelligentAutomation,Research Data Scientist,3.8,$71K - $136K (Glassdoor est.),"Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",$25 to $50 million (USD)
"Railhead,Inc.","Image Scientist - Fort Belvoir, VA",1.0,not found-------------------,United States,--,--,--,--,--
SketchyGroupLLC,Data Engineer (Remote),5.0,not found-------------------,California,1 to 50 Employees,2013,Company - Private,Colleges & Universities,Unknown / Non-Applicable
SafeliteGroup,Sr. Data Scientist,3.5,$74K - $149K (Glassdoor est.),"Columbus, OH",10000+ Employees,1947,Company - Private,Auto Repair & Maintenance,$2 to $5 billion (USD)
